date,sales,profit,region,state,category,type,caffeination
1/1/2010,219,94,Central,CO,Coffee,Amaretto,Regular
1/1/2010,190,68,Central,CO,Coffee,Columbian,Regular
1/1/2010,234,101,Central,CO,Coffee,Decaf Irish Cream,Decaf
1/1/2010,100,30,Central,CO,Tea,Green Tea,Regular
1/1/2010,134,54,Central,CO,Espresso,Caffe Mocha,Regular
1/1/2010,180,53,Central,CO,Espresso,Decaf Espresso,Decaf
1/1/2010,341,99,Central,CO,Herbal Tea,Chamomile,Decaf
1/1/2010,150,0,Central,CO,Herbal Tea,Lemon,Decaf
1/1/2010,140,33,Central,CO,Herbal Tea,Mint,Decaf
1/1/2010,130,17,Central,CO,Tea,Darjeeling,Regular
1/1/2010,140,36,Central,CO,Tea,Earl Grey,Regular
1/1/2010,345,111,Central,IL,Coffee,Columbian,Regular
1/1/2010,234,87,Central,IL,Coffee,Decaf Irish Cream,Decaf
1/1/2010,546,203,Central,IL,Espresso,Caffe Mocha,Regular
1/1/2010,456,140,Central,IL,Espresso,Decaf Espresso,Decaf
1/1/2010,219,95,Central,IL,Herbal Tea,Chamomile,Decaf
1/1/2010,190,68,Central,IL,Herbal Tea,Lemon,Decaf
1/1/2010,234,101,Central,IL,Herbal Tea,Mint,Decaf
1/1/2010,134,53,Central,IL,Tea,Darjeeling,Regular
1/1/2010,180,54,Central,IL,Tea,Earl Grey,Regular
1/1/2010,45,11,Central,IA,Coffee,Amaretto,Regular
1/1/2010,62,5,Central,IA,Coffee,Columbian,Regular
1/1/2010,54,12,Central,IA,Coffee,Decaf Irish Cream,Decaf
1/1/2010,43,11,Central,IA,Espresso,Caffe Mocha,Regular
1/1/2010,43,10,Central,IA,Espresso,Decaf Espresso,Decaf
1/1/2010,546,202,Central,IA,Herbal Tea,Chamomile,Decaf
1/1/2010,234,86,Central,IA,Herbal Tea,Lemon,Decaf
1/1/2010,456,141,Central,IA,Tea,Darjeeling,Regular
1/1/2010,546,175,Central,IA,Tea,Earl Grey,Regular
1/1/2010,190,39,Central,MO,Coffee,Columbian,Regular
1/1/2010,170,47,Central,MO,Coffee,Decaf Irish Cream,Decaf
1/1/2010,76,4,Central,MO,Tea,Green Tea,Regular
1/1/2010,123,48,Central,MO,Espresso,Caffe Mocha,Regular
1/1/2010,114,45,Central,MO,Espresso,Decaf Espresso,Decaf
1/1/2010,90,11,Central,MO,Herbal Tea,Chamomile,Decaf
1/1/2010,99,39,Central,MO,Herbal Tea,Lemon,Decaf
1/1/2010,82,9,Central,MO,Tea,Darjeeling,Regular
1/1/2010,65,9,Central,MO,Tea,Earl Grey,Regular
1/1/2010,140,34,Central,OH,Coffee,Amaretto,Regular
1/1/2010,140,42,Central,OH,Coffee,Columbian,Regular
1/1/2010,150,0,Central,OH,Coffee,Decaf Irish Cream,Decaf
1/1/2010,200,67,Central,OH,Tea,Earl Grey,Regular
1/1/2010,130,16,Central,OH,Espresso,Decaf Espresso,Decaf
1/1/2010,341,99,Central,OH,Espresso,Caffe Mocha,Regular
1/1/2010,80,29,Central,OH,Herbal Tea,Chamomile,Decaf
1/1/2010,80,29,Central,OH,Herbal Tea,Lemon,Decaf
1/1/2010,210,68,Central,OH,Tea,Darjeeling,Regular
