popularity,image,speechiness,rank,href,year,acousticness,danceability,preview,energy,tempo,instrumentalness,key,duration_ms,name,artist,liveness,explicit,mode,time_signature,loudness,valence
48,https://i.scdn.co/image/4c0857c60d05bd2708a9e27521ea669f67f3ea68,0.0529,1,https://open.spotify.com/track/2XkuSbp5say8nZW8g6156Z,1965,0.713,0.582,https://p.scdn.co/mp3-preview/15f78fd0c74a576cddb1362fd8dae43b984b37a2?cid=b1f28da8553c44beb65edac3ed1abac7,0.575,140.601,3.66e-06,7,140866,Wooly Bully,Sam The Sham & The Pharaohs,0.151,0,1,4,-11.89,0.558
60,https://i.scdn.co/image/4fa266da034ca554f1861921ebadffb1f90b0bae,0.0286,2,https://open.spotify.com/track/0GiWjFOVWv3mVaNCxkgqlq,1965,0.119,0.701,,0.8,127.752,0,0,165866,"I Can't Help Myself (Sugar Pie, Honey Bunch)",Four Tops,0.0831,0,1,4,-2.936,0.967
65,https://i.scdn.co/image/976049017fbc58656c1053b24f6842ae56f61da8,0.0353,3,https://open.spotify.com/track/2PzU4IB8Dr6mxV3lHuaG34,1965,0.0348,0.725,,0.853,136.282,0.127,2,222813,(I Can't Get No) Satisfaction - Mono Version / Remastered 2002,The Rolling Stones,0.196,0,1,4,-7.842,0.904
32,https://i.scdn.co/image/7ec098429d8b6448e3d4eb1ba59bb41ac5d8d79a,0.05,4,https://open.spotify.com/track/36ckFm0oicmvX8bWEErIHd,1965,0.485,0.51,,0.565,143.381,0,1,155960,You Were On My Mind,We Five,0.0476,0,0,4,-8.105,0.7
54,https://i.scdn.co/image/5a3b78a1f18acf02e5992676684a03e7dd3a402b,0.0265,5,https://open.spotify.com/track/5GMw6X6BbCDGO9gApQYRSa,1965,0.504,0.39,,0.309,94.444,0,1,225226,You've Lost That Lovin' Feelin',The Righteous Brothers,0.0863,0,1,4,-14.12,0.459
49,https://i.scdn.co/image/03de6ed44dc425dadb6016ac939d211c1bf444eb,0.0431,6,https://open.spotify.com/track/0hgWgToJgb7O1tT12YWRCz,1965,0.695,0.495,https://p.scdn.co/mp3-preview/6c3bb30315006f0402baf0b8c45f1a89adc43a92?cid=b1f28da8553c44beb65edac3ed1abac7,0.629,118.515,0,4,183120,Downtown,Petula Clark,0.164,0,1,4,-6.817,0.545
64,https://i.scdn.co/image/bbbd06069770d49731587d1f513bdf482c9420ab,0.0326,7,https://open.spotify.com/track/3BQHpFgAp4l80e1XslIjNI,1965,0.879,0.332,,0.179,96.529,0,5,125666,Yesterday - Remastered,The Beatles,0.0886,0,1,4,-11.83,0.315
18,https://i.scdn.co/image/797bc19f3a1dd6141a8a5ed6d75f6d5e4bb187a9,0.0373,8,https://open.spotify.com/track/3Qj9eV3K9SliziHK6EQPDa,1965,0.0488,0.532,https://p.scdn.co/mp3-preview/d0f75414998d89430462914a7beb5d6b02a33e41?cid=b1f28da8553c44beb65edac3ed1abac7,0.636,147.128,0.00089,9,130813,Can't You Hear My Heart Beat (Rerecorded Version),Herman's Hermits,0.101,0,1,4,-11.23,0.886
48,https://i.scdn.co/image/efa549a3619dffcbf31e937b3419750195f42282,0.041,9,https://open.spotify.com/track/1Vzr9AOdHw65UHoK1Vuxls,1965,0.94,0.404,https://p.scdn.co/mp3-preview/63697491c9e52df8c871746ea8ec7500ae0fe8ff?cid=b1f28da8553c44beb65edac3ed1abac7,0.246,71.274,3e-05,11,143266,Crying In the Chapel,Elvis Presley,0.297,0,1,4,-13.812,0.281
71,https://i.scdn.co/image/ebe09171c63579b9c95bd16b80ca5759eb2c65b9,0.0346,10,https://open.spotify.com/track/6jWkZvd1URGktyTTwcpPpB,1965,0.625,0.579,,0.419,104.564,0,0,165000,My Girl,The Temptations,0.0981,0,1,4,-10.72,0.673
40,https://i.scdn.co/image/6a8c0521f0fabdb728b58288e032d0f8f92a3f7c,0.0332,11,https://open.spotify.com/track/4qvdAp6MMl59RjaTOti9QD,1965,0.103,0.52,,0.709,139.672,1.06e-06,1,167506,"Help Me, Rhonda",The Beach Boys,0.167,0,1,4,-7.482,0.845
54,https://i.scdn.co/image/a1f864e248f3ca042a30defce53b5f66d8466d17,0.0727,12,https://open.spotify.com/track/36Ew5C2l5r1GAZifRhp4YG,1965,0.51,0.731,https://p.scdn.co/mp3-preview/62c31b97fa081f069a26a8b53ee7f37546ba96f4?cid=b1f28da8553c44beb65edac3ed1abac7,0.204,121.817,2.02e-05,11,143373,King Of The Road - Re-Recorded In Stereo,Roger Miller,0.0894,0,1,4,-18.934,0.699
13,https://i.scdn.co/image/9f2b9e09e1675afc08fb8f17fc0c540e8838234c,0.0336,13,https://open.spotify.com/track/4VRBVIN8KRP1HhMhJPpc5s,1965,0.189,0.756,https://p.scdn.co/mp3-preview/a1975e1dedfab6339fdfec19eaeaa547fcabf083?cid=b1f28da8553c44beb65edac3ed1abac7,0.538,112.129,0.00159,6,122733,The Birds And The Bees,Jewel Akens,0.0421,0,1,4,-9.826,0.973
42,https://i.scdn.co/image/6035902944b2630dcff19ac55097a78818a745bf,0.0383,14,https://open.spotify.com/track/5XPwkZ7vNxeidpNLAkwtFp,1965,0.74,0.476,,0.575,111.135,0,1,149533,"Hold Me, Thrill Me, Kiss Me",Mel Carter,0.147,0,0,3,-6.522,0.509
48,https://i.scdn.co/image/7bdcdb5be2db7fe09059cf96212e2a230cc93614,0.0332,15,https://open.spotify.com/track/6VzM9C7CXyn1BQdgTJVqDx,1965,0.181,0.747,,0.671,120.98,5.24e-06,1,176626,Shotgun,Jr. Walker & The All Stars,0.061,0,1,4,-5.737,0.681
60,https://i.scdn.co/image/2f137c8d676147a59c8517dcc8a05849626a7efd,0.0259,16,https://open.spotify.com/track/2SWBfqj1FrS8t8z56G55rP,1965,0.246,0.621,https://p.scdn.co/mp3-preview/aa94b4bc2aaa671a0c0b877a2d466ad190d6ec59?cid=b1f28da8553c44beb65edac3ed1abac7,0.708,110.533,2e-06,6,193840,I Got You Babe - LP/Single Version,Sonny & Cher,0.143,0,1,3,-9.057,0.624
41,https://i.scdn.co/image/fbe9bc36f3e2f80ab46bc4d0144ce2bb21cd4a1f,0.0278,17,https://open.spotify.com/track/7n9i7x2fXDmgCsGExP5CrW,1965,0.332,0.628,,0.609,132.596,0,10,136800,This Diamond Ring,Gary Lewis & The Playboys,0.136,0,0,4,-10.635,0.775
34,https://i.scdn.co/image/21b28497c46bc1816769c7068c63eec5982e0624,0.164,18,https://open.spotify.com/track/3l2pObHGPzGmgRWDlAbUJN,1965,0.5,0.664,,0.513,141.638,0.0525,7,351426,"The ""In"" Crowd - Live (1965/Bohemian Caverns)",Ramsey Lewis Trio,0.961,0,1,4,-19.477,0.639
30,https://i.scdn.co/image/c93d3af30fe684334ff4e214acae7938fb69e39f,0.0572,19,https://open.spotify.com/track/1GJCJpKYfzRUsYnSRy4Mfz,1965,0.746,0.659,,0.465,148.894,0.00458,0,167480,"Mrs. Brown, You've Got A Lovely Daughter",Herman's Hermits,0.0963,0,1,4,-9.53,0.889
